#---------------------------- KTU 1.85 1
150606	yraš	yraš[	/r-ʔ-š/	vb	to toss the head	
150607	śśw	śśw/	s:śs/św	n.	horse	
150608	št	št[;št(I)/;št(II)/	/š-t/;št (I);št (II)	vb;n.;n.	to place, set, set up, leave;base, foot;raíz	ambiguous DULAT candidates: 6 (showing top 3)
150609	bln	bln/	bln	n.	mixed fodder	
150610	qṭ	qṭ(I)/	qṭ (I)	n.	flax, flax seed	
#---------------------------- KTU 1.85 19
150611	ydk	ydk[	d-k(-k)/	vb	to be pounded, ground	
150612	w	w	w	conj.	and	
150613	yṣq	yṣq[	/y-ṣ-q/	vb	to pour (out), serve	
150614	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
150615	aph	aph				DULAT: NOT FOUND
#---------------------------- KTU 1.85 20
150616	w	w	w	conj.	and	
150617	k	k(I)/;k(I);k(II)	-k (I);k (I);k (II)	pers. pn., morph.;prep.;emph. functor	your(s);like, as;yes	ambiguous DULAT candidates: 10 (showing top 3)
150618	xxxxxʿbd	xxxxxˤbd				DULAT: NOT FOUND
150619	śśw	śśw/	s:śs/św	n.	horse	
150620	gd	gd				DULAT: NOT FOUND
150621	ḫlb	ḫlb(I)/	ḫlb (I)	n.	massif, promontory	
#---------------------------- KTU 1.85 21
150622	w	w	w	conj.	and	
150623	šxxxxx	šxxxxx				DULAT: NOT FOUND
150624	ʿl	ˤl(I);ˤl(II);ˤl(III)/	ʕl (I);ʕl (II);ʕl (III)	prep.;adv.;n.	upon, on top of;above, on top;offspring	ambiguous DULAT candidates: 4 (showing top 3)
150625	xxxxx	xxxxx				
#---------------------------- KTU 1.85 22
150626	ydk	ydk[	d-k(-k)/	vb	to be pounded, ground	
150627	aḥdh	aḥdh;aḥdh/	yḥdh;ảḥd	adv.;adj. num., adv. num.	together, at the same time;one, oneself	
150628	w	w	w	conj.	and	
150629	yṣq	yṣq[	/y-ṣ-q/	vb	to pour (out), serve	
150630	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
150631	aph	aph				DULAT: NOT FOUND
#---------------------------- KTU 1.85 23
150632	w	w	w	conj.	and	
150633	k	k(I)/;k(I);k(II)	-k (I);k (I);k (II)	pers. pn., morph.;prep.;emph. functor	your(s);like, as;yes	ambiguous DULAT candidates: 10 (showing top 3)
150634	ygʿr	ygˤr[	/g-ʕ-r/	vb	to reproach, rebuke	
150635	śśw	śśw/	s:śs/św	n.	horse	
150636	xxxxx	xxxxx				
#---------------------------- KTU 1.85 24
150637	pr	pr(I)/;pr(II)/	pr (I);pr (II)	n.;n.	fruit;young bull, bullock	
150638	ʿṯrb	ˤṯrb/	ʕṯrb	n.	arbrisseau semblable au grenadier	
150639	drʿ	drˤ[;drˤ/	/d-r-ʕ/;d/ḏrʕ	vb;n.	to sow, scatter;seed, seed-grain, sowing	
150640	w	w	w	conj.	and	
150641	ṯqd	ṯqd/	ṯqd	n.	almond	
150642	mr	mr(I)/;mr(II)/;mr(IV)/	mr (I);mr (II);mr (IV)	n.;adj.;adj.	myrrh;bitter;valiant, hero	ambiguous DULAT candidates: 5 (showing top 3)
150643	w	w	w	conj.	and	
#---------------------------- KTU 1.85 25
150644	tmṯl	tmṯl/	tmṯl	n.	equal amount, equivalent, just as much	
150645	gd	gd				DULAT: NOT FOUND
150646	w	w	w	conj.	and	
150647	tmṯl	tmṯl/	tmṯl	n.	equal amount, equivalent, just as much	
150648	ṯmrg	ṯmrg/	ṯmr	n.	fennel	
150649	xxxx	xxxx				
#---------------------------- KTU 1.85 26
150650	w	w	w	conj.	and	
150651	št	št[;št(I)/;št(II)/	/š-t/;št (I);št (II)	vb;n.;n.	to place, set, set up, leave;base, foot;raíz	ambiguous DULAT candidates: 6 (showing top 3)
150652	nni	nni(I)/	nnủ (I)	n.	Ammi, Zahnstocherdolde	
150653	w	w	w	conj.	and	
150654	pr	pr(I)/;pr(II)/	pr (I);pr (II)	n.;n.	fruit;young bull, bullock	
150655	ʿbk	ˤbk/	ʕbk	n.	eine Binsenart	
150656	w	w	w	conj.	and	
150657	xxxx	xxxx				
#---------------------------- KTU 1.85 27
150658	mġmġ	mġmġ/	mġmġ	n.		
150659	w	w	w	conj.	and	
150660	pr	pr(I)/;pr(II)/	pr (I);pr (II)	n.;n.	fruit;young bull, bullock	
150661	ḥḏrt	ḥḏrt				DULAT: NOT FOUND
150662	w	w	w	conj.	and	
150663	xxxx	xxxx				
#---------------------------- KTU 1.85 28
150664	irġn	irġn				DULAT: NOT FOUND
150665	ḥmr	ḥmr(I)/;ḥmr(II)/	ḥmr (I);ḥmr (II)	n.;adj.	donkey;red, reddish	
150666	ydk	ydk[	d-k(-k)/	vb	to be pounded, ground	
150667	aḥdh	aḥdh;aḥdh/	yḥdh;ảḥd	adv.;adj. num., adv. num.	together, at the same time;one, oneself	
#---------------------------- KTU 1.85 29
150668	w	w	w	conj.	and	
150669	yṣq	yṣq[	/y-ṣ-q/	vb	to pour (out), serve	
150670	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
150671	aph	aph				DULAT: NOT FOUND
#---------------------------- KTU 1.85 30
