#---------------------------- KTU 1.114 1
153926	trpa	!t!rpʔ[	/r-p-ʔ/	vb	to heal
153927	hn	hn	hn	deictic functor/adv.	behold!
153928	nˤr	nˤr(I)/;nˤr(II)/;!n!ˤr[	nʕr (I);nʕr (II);/ʕ-r/	n.;n.;vb	boy;roasted;to become agitated
#---------------------------- KTU 1.114 29
153929	d	d	d	det. or rel. functor	the one(s) of
153930	yšt	!y!št[;šty[	/š-t/;/š-t-y/	vb;vb	to place;to drink
153931	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
153932	lṣbh	lṣb/+h(I);lṣb/+h(II)	lṣb,-h (I);lṣb,-h (II)	n.,pers. pn./morph.;n.,adv. functor	brow,his /her (hers) / its;brow,to
153933	ḫš	?	?	?	?	DULAT: NOT FOUND
153934	ˤrk	ˤrk(I)/	ʕrk (I)	n.	bookkeeping account
153935	lb	lb/	lb	n.	heart
#---------------------------- KTU 1.114 30
153936	w	w	w	conj.	and
153937	riš	riš(I)/	rỉš (I)	n.	head
153938	pqq	?	?	?	?	DULAT: NOT FOUND
153939	w	w	w	conj.	and
153940	šrh	šr(IV)/;šry[	šr (IV);/š-r-y/w/	n.;vb	navel;to release
#---------------------------- KTU 1.114 31
153941	yšt	!y!št[;šty[	/š-t/;/š-t-y/	vb;vb	to place;to drink
153942	aḥdh	aḥd/	ảḥd	adj. num./adv. num.	one
153943	dm	dm(I);dm(II)/;ˤbd(I)/	dm (I);dm (II);ʕbd (I)	functor;n.;n.	since;blood;servant
153944	zt	zt/	zt	n.	olive
153945	ḫrpnt	ḫrpnt/	ḫrpnt	n.	autumn
