155232	ṯˤy	ṯˤy(I)/;ṯˤy[	ṯʕy (I);/ṯ-ʕ-y/	n.;vb	minister;to offer
155233	tqdm	!t!qdm[	/q-d-m/	vb	to proceed
155234	ˤṣr	ˤṣr(I)/	ʕṣr (I)	n.	bird
#---------------------------- KTU 1.161 31
155235	šlm	šlm[;šlm(I)/;šlm(III)/	/š-l-m/;šlm (I);šlm (III)	vb;n.;adj.	to be well;peace;pure
155236	šlm	šlm[;šlm(I)/;šlm(III)/	/š-l-m/;šlm (I);šlm (III)	vb;n.;adj.	to be well;peace;pure
155237	ˤmrpi	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.161 32
155238	w	w	w	conj.	and
155239	šlm	šlm[;šlm(I)/;šlm(III)/	/š-l-m/;šlm (I);šlm (III)	vb;n.;adj.	to be well;peace;pure
155240	bah	?	?	?	?	DULAT: NOT FOUND
155241	šlm	šlm[;šlm(I)/;šlm(III)/	/š-l-m/;šlm (I);šlm (III)	vb;n.;adj.	to be well;peace;pure
155242	ṯryl	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.161 33
155243	šlm	šlm[;šlm(I)/;šlm(III)/	/š-l-m/;šlm (I);šlm (III)	vb;n.;adj.	to be well;peace;pure
155244	bth	bt(II)/	bt (II)	n.	house
155245	šlm	šlm[;šlm(I)/;šlm(III)/	/š-l-m/;šlm (I);šlm (III)	vb;n.;adj.	to be well;peace;pure
155246	ugrt	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.161 34
155247	šlm	šlm[;šlm(I)/;šlm(III)/	/š-l-m/;šlm (I);šlm (III)	vb;n.;adj.	to be well;peace;pure
155248	ṯġrh	ṯġr(I)/;ṯġr(II)/	ṯġr (I);ṯġr (II)	n.;n.	gate;gatekeeper
