#---------------------------- KTU 1.15 I:1
142910	qbṣ	qbṣ/	qbṣ	n.	clan	
142911	dtn	d+n(I);d+n(II);d+n(III)	d,-n (I);d,-n (II);d,-n (III)	det. or rel. functor,morph.;det. or rel. functor,pers. pn./morph./vb;det. or rel. functor,pers. pn./morph.	the one(s) of,Sun;the one(s) of,me;the one(s) of,our	
#---------------------------- KTU 1.15 III:16
142912	ṣġrthn	ṣġr(I)/;ṣġrt(I)/	ṣġr (I);ṣġrt (I)	adj.;adj.	small;youngest	
142913	abkrn	abkrn				DULAT: NOT FOUND
#---------------------------- KTU 1.15 III:17
142914	tbrk	!t!brk(II)[;!t!brk(I)[	/b-r-k/ (II);/b-r-k/ (I)	vb;vb	to be blessed;to kneel (down)	
142915	ilm	il(I)/	ỉl (I)	n.	god	
142916	tity	!t!ʔtw[	/ʔ-t-w/	vb	to come	
#---------------------------- KTU 1.15 III:18
142917	tity	!t!ʔtw[	/ʔ-t-w/	vb	to come	
142918	ilm	il(I)/	ỉl (I)	n.	god	
142919	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
142920	ahlhm	ahl/	ảhl	n.	tent	
#---------------------------- KTU 1.15 III:19
142921	dr	dr/	dr	n.	circle	
142922	il	il(I)/	ỉl (I)	n.	god	
142923	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
142924	mšknthm	mšknt/	mšknt	n.	residence	
#---------------------------- KTU 1.15 III:20
142925	w	w	w	conj.	and	
142926	tqrb	!t!qrb[	/q-r-b/	vb	to approach	
142927	wld	wld				DULAT: NOT FOUND
142928	bn	bn(I)/;bn(II);bn[	bn (I);bn (II);/b-n/	n.;prep.;vb	son;between;to understand	
142929	lh	l(I)	l (I)	prep.	to	
#---------------------------- KTU 1.15 III:21
142930	w	w	w	conj.	and	
142931	tqrb	!t!qrb[	/q-r-b/	vb	to approach	
142932	wld	wld				DULAT: NOT FOUND
142933	bnm	b;bn(I)/	b;bn (I)	prep.;n.	in;son	
142934	lh	l(I)	l (I)	prep.	to	
#---------------------------- KTU 1.15 III:22
142935	mk	mk(II)	mk (II)	deictic functor	behold!	
142936	b	b	b	prep.	in	
142937	šbˤ	šbˤ(I)/	šbʕ (I)	n. num.	seven	
142938	šnt	šnt(I)/	šnt (I)	n.	year	
#---------------------------- KTU 1.15 III:23
142939	bn	bn(I)/;bn(II);bn[	bn (I);bn (II);/b-n/	n.;prep.;vb	son;between;to understand	
142940	krt	krt/	krt	PN	krt	
142941	kmhm	km	km		like	
142942	tdr	ndr[	/n-d-r/	vb	to make a vow	
#---------------------------- KTU 1.15 III:24
142943	ap	ap(I);ap(II)/	ảp (I);ảp (II)	adv./conj.;n.	also;nose	
142944	bnt	bnt(II)/;bnt(I)/;bt(I)/	bnt (II);bnt (I);bt (I)	n.;n.;n.	produce;masonry;daughter	
142945	ḥry	ḥr(I)/+y(I);ḥr(I)/+y(II)	ḥr (I),-y (I);ḥr (I),-y (II)	n.,prep.;n.,postp. functor	intestine(s),my;intestine(s),yes	
#---------------------------- KTU 1.15 III:25
142946	kmhm	km	km		like	
142947	w	w	w	conj.	and	
